X,Y,Z
0,0,27.80985
0,1,49.61936
0,2,83.08067
0,3,116.6632
0,4,130.414
0,5,150.7206
0,6,220.1871
0,7,156.1536
0,8,148.6416
0,9,203.7845
0,10,206.0386
0,11,107.1618
0,12,68.36975
0,13,45.3359
0,14,49.96142
0,15,21.89279
0,16,17.02552
0,17,11.74317
0,18,14.75226
0,19,13.6671
0,20,5.677561
0,21,3.31234
0,22,1.156517
0,23,-0.147662
1,0,27.71966
1,1,48.55022
1,2,65.21374
1,3,95.27666
1,4,116.9964
1,5,133.9056
1,6,152.3412
1,7,151.934
1,8,160.1139
1,9,179.5327
1,10,147.6184
1,11,170.3943
1,12,121.8194
1,13,52.58537
1,14,33.08871
1,15,38.40972
1,16,44.24843
1,17,69.5786
1,18,4.019351
1,19,3.050024
1,20,3.039719
1,21,2.996142
1,22,2.967954
1,23,1.999594
2,0,30.4267
2,1,33.47752
2,2,44.80953
2,3,62.47495
2,4,77.43523
2,5,104.2153
2,6,102.7393
2,7,137.0004
2,8,186.0706
2,9,219.3173
2,10,181.7615
2,11,120.9154
2,12,143.1835
2,13,82.40501
2,14,48.47132
2,15,74.71461
2,16,60.0909
2,17,7.073525
2,18,6.089851
2,19,6.53745
2,20,6.666096
2,21,7.306965
2,22,5.73684
2,23,3.625628
3,0,16.66549
3,1,30.1086
3,2,39.96952
3,3,44.12225
3,4,59.57512
3,5,77.56929
3,6,106.8925
3,7,166.5539
3,8,175.2381
3,9,185.2815
3,10,154.5056
3,11,83.0433
3,12,62.61732
3,13,62.33167
3,14,60.55916
3,15,55.92124
3,16,15.17284
3,17,8.248324
3,18,36.68087
3,19,61.93413
3,20,20.26867
3,21,68.58819
3,22,46.49812
3,23,0.2360095
4,0,8.815617
4,1,18.3516
4,2,8.658275
4,3,27.5859
4,4,48.62691
4,5,60.18013
4,6,91.3286
4,7,145.7109
4,8,116.0653
4,9,106.2662
4,10,68.69447
4,11,53.10596
4,12,37.92797
4,13,47.95942
4,14,47.42691
4,15,69.20731
4,16,44.95468
4,17,29.17197
4,18,17.91674
4,19,16.25515
